Landgrabbed	Landgrabber	Base	Sector	Hectares	Production	Projected investment	Status of deal	Summary
Côte d'Ivoire	Wilmar International/Olam	Singapore	Agribusiness	47,000	Oil palm, sugar cane		Done	In 2007 Wilmar and Olam created a joint venture, Nauvu, to take a 27% stake in SIFCA, the largest sugar-cane and oil-palm company in Côte d'Ivoire. The Billon family retains majority control of the company, but all parties intend to use SIFCA as a base for the expansion of palm-oil plantations throughout West Africa.
Democratic Republic of the Congo 	Feronia Inc.	Canada	Agribusiness	110,000	Oil palm, rice, soybeans		Done 	Feronia Inc is a Canadian company established by TriNorth Capital to acquire and operate farms in Africa. Through its Cayman Islands subsidiary Feronia JCA Ltd, the company acquired a 100,000-ha oil-palm concession in the DRC from Unilever in 2009. Feronia also established an arable farming division, which has acquired 10,000 ha in the Bas Congo province, where it began producing NERICA rice in 2011. The company is currently pursuing an additional 90,000 ha for its arable farming division. The DRC's Ambassador to Great Britain is a member of Feronia's board of directors.  
Democratic Republic of the Congo 	ZTE	China	Telecommunications	100,000	Oil palm		Done	ZTE Corporation is China's largest telecommunications company, with operations in more than 140 countries. In 2007, it established ZTE Energy to invest in biofuels and food production in China and overseas. In 2008, ZTE purchased 258 ha in Menkao, near Kinshasa, to study the potential for agriculture five degrees north and south of the equator, and then purchased a 600-ha farm in 2010. It has a 100,000-ha concession for an oil-palm plantation from the Government of the DRC, but it has put this project on hold. 
Democratic Republic of the Congo 	DWS GALOF	Germany	Finance	25,000	Crops		Done	The DWS GALOF fund is offered by Deutsche Bank, but the day-to-day management of the fund is delegated to Duxton Asset Management, based in Singapore. It was launched in 2007, with a running time until 2016, and assets of €110 million.
East Timor	GTLeste Biotech	Indonesia	Agribusiness	100,000	Sugar cane	US$100 million	Done	In January 2008 the Ministry of Agriculture of Timor Leste signed an MoU with Indonesia's GTLeste Biotech, a company owned by Gino Sakiris, for a project that would provide the company with a 50-year renewable lease of 100,000 ha, around 25% of the country's arable land area, for the production of sugar cane.
Egypt	Al Rajhi International Investment Company 	Saudi Arabia	Agribusiness, finance	52,500	Feed, wheat 		Done	In 2007 the Egyptian government signed an agreement with the Al Rajhi family's International Investment Company for a project to produce wheat and feed crops for export to Saudi Arabia on 10,000 ha of land during a first phase that has already been implemented, increasing to 52,500 ha in a second phase that was scheduled to begin in 2010. The Al Rajhi family is considered to be the wealthiest non-royals in Saudi Arabia. It owns the Tabuk Agricultural Development Co (TADCO), one of the largest agribusiness companies in the country, and since 2008 it has taken the lead within the private sector in securing farmland overseas for the King Abdullah Initiative for Saudi Agricultural Investment Abroad. In 2009, the Al Rajhi Group brought together several other major Saudi agribusiness companies, including Almarai and the Aljouf Agricultural Development Co, to form Jenat, a joint venture company to acquire farmland overseas, as well as the Far East Agricultural Co., which is focusing on the acquisition of lands for rice production in Asia.
Egypt	Jenat	Saudi Arabia	Agribusiness	10,000	Feed, wheat 		Done	In 2009, the Al Rajhi International Investment Company brought together several other major Saudi agribusiness companies, including Almarai and the Aljouf Agricultural Development Co, to form Jenat, a joint venture company to acquire farmland overseas. The company's first initiative is a SR70-million project to plant barley, wheat and livestock feed on 10,000 ha of farmland in Egypt. 
Egypt	Kingdom Agricultural Development Holding 	Saudi Arabia	Agribusiness	10,500			Done	Kingdom Agricultural Development Holding (KADCO) is owned by Saudi Prince Alwaleed bin Talal. Initially, in 1998, the project covered 42,000 ha, but in April 2011 the Egyptian public prosecutor declared the sale illegal, and the Saudi company was forced to reduce its holdings to 4,200 ha, while agreeing to cultivate on another 6,300 ha of which it would take ownership at a later date.
Egypt	Al Dahra	UAE	Agribusiness	48,500	Fodder		Done	In August 2010, Abu Dhabi’s Al Dahra Agricultural Company, one of the main suppliers of animal feed to the UAE, said it was halfway through the implementation of a plan to produce feed and food crops on 60,700 ha of farmland in Europe, the US, South Asia and North Africa to boost the UAE’s food security. The company has 10,300 ha under production in Egypt, but says its landholdings will ultimately encompass 48,500 ha. 
Egypt	Jenaan	UAE	Agribusiness	20,000	Dill, maize, potatoes, wheat		Done	Jenaan Investment is a private company established in Abu Dhabi in 2005 to invest in agricultural projects abroad. In 2007 it invested US$25 million in a 2,520-ha fodder farm and feed plant in Egypt. In 2009 it announced plans to invest US$250 million to acquire an additional 42,000 ha for the production of wheat. The company also has a 30-year renewable lease for 40,000 ha in Sudan. In 2010 Jenaan said it would spend US$500 million over the next three years acquiring farmland in Tanzania, Ethiopia, the US and the Far East.
Ethiopia	Hunan Dafengyuan	China	Agribusiness	25,000	Sugar cane		Done	In November 2010, China's Hunan DFY Agriculture Co. Ltd signed a contract with Ethiopia's Ministry of Agriculture giving it a 40-year lease to 25,000 ha of land in the Region of Gambela for a sugar-cane production project. Hunan DFY Agriculture is a joint venture between the ErShiSanYe Group and one of China's largest seed companies, Long Ping High-tech.
Ethiopia	Djibouti	Djibouti	Government	5,000	Wheat		Done	In January 2009, the Government of Djibouti announced that its state-owned company, the Société Djiboutienne de Sécurité Alimentaire, which it created that year to enhance Djibouti's food security through the outsourcing of food production in other countries, had been allocated 4,200 ha by the Government of Sudan and 5,000 ha by Ethiopia for the production of wheat. The Ethiopian project will be financed by the African Development Bank, while the project in Sudan will be financed by the Islamic Development Bank. Malawi's President Bingu Wa Mutharika also promised the President of Djibouti, Ismail Omar Guelleh, 55,000 ha of farmland during his visit to Malawi in April 2009.
Ethiopia	AfricaJUICE	Dutch	Agribusiness	1,200	Fruit		Done	AfricaJUICE operates a a juice-production plant and fruit farm on 1,200 ha in Ethiopia. The company is backed by the South African private equity fund Agri-Vie, which is financed by South Africa's Development Bank of Southern Africa, the World Bank's IFC and the W.K. Kellogg Foundation. The World Banks' MIGA provided the project with US$10 million in guarantees.
Ethiopia	Egyptian National Bank 	Egypt	Government	20,000	Cereals	US$40 million	Done	A US Embassy cable from February 2010, released by Wikileaks in 2011, claimed that the state-owned National Bank of Egypt planned to invest US$40 million to lease 20,000 ha of land in the Afar region of Sudan to grow cereals for export to Egypt.
Ethiopia	Acazis AG	Germany	Agribusiness	56,000	Castor crop, peanuts, vegetable oil	US$77 million 	Done	Formerly Flora Ecopower Holding, which was a spin-off of the Israeli Hovev Group, Acazis is now majority-owned by the Luxembourg-based renewable energy group Athanor Equities, and trades on the Frankfurt Stock Exchange. With the freeze of edible-oil prices by the Ethiopian government in 2011, Acazis shifted production from castor to peanuts to produce peanut oil. 
Ethiopia	Almidha	India		28,000	Sugar cane		Done	The Oakland Institute reports that the Indian company Almidha was granted lease rights to 28,000 ha in the Oromia Region for sugar-cane production.
Ethiopia	ARS Agrofoods	India	Agribusiness	3,000	Cotton, groundnut, sesame, soybean	US$5 million	In process	According to plans submitted by ARS Agrofoods to the Ethiopian government in November 2010, the company intends to lease 3,000 ha in the Abol District of the Gambela Regional State. Half of the land will be used for cotton, 30% for sesame, 10% for soybeans and 9% for groundnuts.
Ethiopia	BHO Agro	India	Agribusiness	27,000	Cereal, oilseeds, pulses	US$8/ha/yr (lease)	Done	In May 2010, BHO Bio Products signed an agreement with the Ethiopian government giving it a 25-year renewable lease for 25,000 ha in Gambela on which the company can grow cereals, pulses and edible oils.
Ethiopia	Chadha Agro Plc	India	Industrial	100,000	Sugar cane		Done	The Indian company Chadha Agro requested 100,000 ha for sugar-cane production from Ethiopia's Ministry of Agriculture. It was granted an initial 22,000 ha in Guji Zone, Oromia Regional State, with a promise to allocate the remaining 78,000 ha once Chadha put these initial lands into production.
Ethiopia	Confederation of Potato Seed Farmers	India	Agribusiness	50,000	Maize, oilseeds, pulses, sugar cane	US$4/ha/yr (lease)	In process	In February 2011, the Business Standard reported that farmers from the Punjab, most of them members of the Confederation of Potato Seed Farmers (Poscon), had identified farmlands in the Ethiopian regions of Oromia, Gambela and Benhulgul, and were in the process of acquiring 2,000-5,000 ha on leases of between 25 and 45 years. The group of farmers said they were targeting an expansion of 5,000 ha per year over the next 10 years.
Ethiopia	Karuturi	India	Agribusiness	311,000	Maize, palm oil, rice, sugar	US$1.2/ha/yr (after first 7 years) in Gambela and US$8/ha/yr (after first 6 years) in Bako	Done	Bangalore-based Karuturi Global Ltd, founded by Sai Ramakrishna Karuturi, is the world's largest producer of cut flowers. In 2008, Karuturi started to invest in farmland and agricultural production in Africa through it's Dubai holding company, Karuturi Overseas. It began by acquiring a long-term lease on 11,000 ha in the Oromia Region of Ethiopia and a 50-year renewable lease on 100,000 ha in the Gambela Region, with an option for another 200,000 ha. It intends to produce palm oil and sugar, but primarily rice and wheat for export, and has already worked out a 40,000-tonne-per-year supply agreement with Djibouti, and is negotiating similar deals with other African countries. Beyond Ethiopia, Karuturi has announced intentions to acquire farmlands in Tanzania and Sudan.   
Ethiopia	Neha International	India	Agribusiness	4,000	Oil seeds, pulses, rice, wheat		Done	Neha International is a Hyderabad-based company founded by G Vinod Reddy, and is one of India's leading producers of cut flowers. It expanded operations into Africa in the 2000s, where it has recently moved into agricultural production. In June 2010, the company disclosed that it had acquired 4,000 ha for agricultural production in the Southern Nations, Nationalities and People's Region of Ethiopia. Then in December 2010 it announced that it had entered into an MoU with the Zambia Development Agency to facilitate the acquisition of 100,000 ha of farmland in Zambia. The company says that it is seeking to acquire and develop arable land in other countries of Eastern and Southern Africa as part of its business development strategy.
Ethiopia	Rashtriya Kissan Sangathan	India	Agribusiness	5,000	Cotton, oil seeds, rice		Done	Rashtriya Kissan Sangathan is a commercial farmer organisation based in New Delhi. In 2011, the Business Standard reported that it was supporting its members to set up farms in Ethiopia.
Ethiopia	Romton Agri PLC	India	Agribusiness	10,000	Tomato farming		Done	The Oakland Institute reports that India's Romton Agri has a lease for 10,000 ha for tomato production in Ethiopia's Oromia State.
Ethiopia	Ruchi Group	India	Agribusiness	50,000	Soybeans	US$4 million (lease cost for 25,000 ha)	Done	In April 2010, Ruchi Group's subsidiary, Ruchi Soya, one of India's largest vegetable-oil producers, signed a contract with the Ethiopian government giving it a 25-year lease on 25,000 ha in the Gambela Region for the production of soybeans, with an option to double the area under lease to 50,000 ha. The Ethiopia project is part of a US$150-million overseas expansion to source vegetable-oil crops that Ruchi Soya is undertaking.
Ethiopia	Sannati Agro Farm Enterprise	India	Agribusiness	10,000	Cereals, pulses, rice	US$10 million 	Done	In October 2010, Sannati Agro of India signed a contract with the Ethiopian government for a 25-year lease on 10,000 ha of land in the Gambela Region on which it plans to cultivate mainly rice for export to the US. The company has said that it would like to double its operations to 20,000 ha.
Ethiopia	Shapoorji Pallonji and Co. (S & P Co.)	India	Construction	50,000	Food crops, pongamia pinnata 		Done	In March 2011, India's S & P Co. signed an agreement with the Government of Ethiopia to produce food crops and pongamia fruit for agrofuels on 50,000 ha in the Benishangul-Gumuz Region. 
Ethiopia	Jalandhar Potato Growers' Association	India 	Agribusiness	100,000	Cotton, maize, paddy, potatoes, pulses, wheat	US$4/ha/yr (lease)	In process	In July 2010, Sikh Sangat News reported that, following a visit of a delegation to Ethiopia, India's Jalandhar Potato Growers' Association was planning to acquire 100,000 ha of land in the Ethiopian regions of Gambela and Tigray. The Association plans to form a company of at least 200 farmers, each contributing an initial share capital of Rs 50 million.
Ethiopia	FRI-EL Green	Italy	Energy	30,000	Oil palm	US$18 million	Done	FRI-EL Green, an Italian company half-owned by German energy giant RWE, was allocated a 30,000-ha lease from the Privatisation and Public Enterprises Supervising Agency of the Southern Nations, Nationalities and Peoples’ Regional State of Ethiopia to cultivate oil palm and jatropha.
Ethiopia	Al Amoudi	Saudi Arabia	Finance	140,000	Livestock, maize, oilseeds, rice, sugar cane, teff	US$2,500 million 	Done	Saudi Star PLC is a company owned by Saudi billionaire Sheik Al Amoudi. As part of the Kingdom's initiative to outsource food production overseas, Saudi Star acquired large areas of land in Gambela, Ethiopia in 2008 and began developing rice production on 10,000 ha. The total area Saudi Star has under lease in Gambela is 140,000 ha, but the company is reported to be in talks for an additional 290,000 ha. The company's stated target is to grow 1 million tonnes of rice per year to generate US$1 billion per year in export revenues. Al Amoudi also owns Ethiopia's largest livestock operation, Elfora AgroIndustries, and Horizon Plantation, a joint venture with Jemal Ahmed and Malaysia's AgriNexus that is pursuing a 58,000-ha oil-palm project in Gambela, a 100,000-ha jatropha plantation in Benishangul Gumuz and an 85,000-ha rubber estate in the Southern Nations, Nationalities, and People's Region. In January 2012, Human Rights Watch reported that local populations were being forcibly displaced for the Saudi Star rice project in Gambela.
Ethiopia	BDFC Ethiopia	US	Agribusiness	17,400	Sugar cane		Done	BDFC Ethiopia is a subsidiary of the US-based B&D Food Corp. The company is in negotiations with Hiber Sugar to create a joint venture to develop a sugar-cane plantation on the 17,400 ha of land it has under lease in the Amhara Regional State. BDFC also has a 5,000-ha coffee farm in the Jimma Region.
Gabon	SIAT	Belgium	Agribusiness	107,300	Cattle, palm oil		Done	SIAT is a Belgian company with extensive agricultural operations in Africa. In Gabon, it has a 7,300-ha oil-palm plantation, a 12,100-ha rubber plantation, and a 100,000-ha cattle farm. It also has palm-oil operations in Nigeria and Ghana. 
Gabon	Olam International	Singapore	Agribusiness	300,000	Palm oil	US$250 million	Done	Olam is an Indian non-resident company, based in Singapore. It is one of the world's largest commodity traders and is investing heavily in farming operations and contract farming schemes, particularly in Africa and Latin America. In January 2012, Olam announced a US$250-million investment to develop a 50,000-ha oil palm plantation in Gabon. 
Gambia, The	Mercatalonia	Spain	Agribusiness	200,000	Fodder, maize, palm oil, rice, soybeans, sugar cane	US$328 million	Done	Mercatalonia is a Spanish company established by precious metals importer Modesto Beltrán Petter’s. It's subsidiary in The Gambia, Mercatalonia Banjul Co. Ltd, has an MoU with the government to implement Afropalma 2020, a project to develop plantations of sugar cane, soybeans, maize, rice, fodder, and palm oil on 150,000-200,000 ha. Canavialis, a Brazilian sugar-cane breeding company owned by Monsanto, is also collaborating in the project. 
Ghana	Brazil Agro Business Group	Brazil	Agribusiness	5,000	Rice		Done	The Brazil Agro-Business Group is owned by Brazilian farmer Frademir Saccol and a Brazilian partner. The company, which is developing large-scale rice farms in Ghana, began with a 500-ha operation in 2009 on lands that it leased in Agave in the Volta Region. In 2009 it said it was planning to expand to 5,000 ha.
Ghana	Compagnie Fruitière	France	Agribusiness	3,500	Banaba, pineapple		Done	Compagnie Fruitière is 40% owned by Dole (US). Its subsidiary in Ghana is Golden Exotics Ltd. The company controls 40% of pineapple production Ghana and 88% of banana production. It owns two plantations in the south of the country: one for pineapple and one for banana. Compagnie Fruitière also has plantations in Ivory Coast (3,600 ha), Cameroon (4,500 ha) and Senegal.
Ghana	Bionic Palm Limited	Germany	Energy	3,940	Biofuel and food crops		Done	Bionic Fuel Group is an engineering company that develops and builds synthetic fuel reactors and turnkey production plants. In 2008, it established Bionic Palm Limited (BPL) in Ghana to invest in agricultural production. In Ghana, the company acquired a palm-oil mill and 1,750 ha on a 50-year lease for oil-palm plantations. The company says that it has completed negotiations for another 2,190 ha, and intends to increase its total oil-palm plantations to 10,000 ha.
Ghana	Symboil	Germany	Energy	13,500	Oil palm		Done	Symboil is a key supplier of vegetable oil to the operators of co-generation plants in Germany. It began operations in Ghana in 2007 for the production and export of palm oil, and has acquired 7,000 ha under a 49-year lease with an option to expand to 13,500 ha. It is also planning to invest in oil-crop production in Russia.
Ghana	Qatar	Qatar	Government	50,000	Food crops		In process	In December 2010, Reuters reported that the governments of Ghana and Qatar had agreed to set up a joint venture company for the production of food crops in Ghana to export to Qatar. They announced that the project would begin with a 50,000-ha pilot project.
Ghana	Wilmar International	Singapore	Agribusiness	6,157	Oil palm		Done	As of March 2011, Wilmar, one of the world's largest commodity traders and palm-oil producers, became a major shareholder in Benso Oil Palm Plantation, which it acquired from UK-based Unilever. The plantation is located in the south of Ghana. 
Ghana	Jose García-Carrion 	Spain	Agribusiness	10,000	Fruit		Done	Spanish fruit producer José García-Carrión acquired 10,000 ha of land in Ghana mainly for the production of pineapple for export to Europe.
Ghana	Africa Atlantic Holdings 	UAE	Agribusiness	10,000	Maize		Done	Africa Atlantic Holdings Ltd is a Dubai-based company investing in farmland in Ghana. So far it has secured a 50-year lease for 10,000 ha on the shores of Lake Volta in the Afram Plains region, where it will grow maize. The company was founded by former US congressional aid Jon Vandenheuvel and Kristopher Klokkenga, an American who formerly worked with ADM and Wilmar in Africa. The company is chaired by Issa Baluch, owner of the Swift Group in Dubai, one of the largest transport logistics companies in the UAE. Africa Atlantic also has a subsidiary, Africa Atlantic Franchise Farms Ltd, which will sell franchise rights to foreign and local investors for the farms that the company operates in Ghana.
Ghana	DOS Palm Oil Production Limited	UK	Agribusiness	3,000	Oil palm		Done	DOS Palm Oil is a UK company established in 2006 to develop oil-palm plantations in Africa. By 2012, the company had 700 ha under its own plantations in Ghana, with plans to increase this to 3,000 ha in the coming years. It owns two production plants in the Central and Western regions of Ghana.
Ghana	GADCO	UK	Agribusiness	1,000	Rice		Done	The Global Agri-Development Company (GADCO) is a US company with financial backing from US asset manager Summit Capital. The company is developing large-scale, vertically integrated rice production in West Africa. In 2011, GADCO signed a contract with local chiefs in South Tongu District in the Volta Region of Ghana, giving it a 30-year lease on 1,000 ha, which the company says it will expand to 4,000 ha within four years. The company has a strategic partnership with Agropecuária Foletto, a Brazilian company owned by one of Brazil's largest rice farmers, Ari Foletto, to oversee the operations of its rice farms in Ghana. It also has a partnership with the Alliance for A Green Revolution in Africa (AGRA).
Ghana	T4M	UK	Agribusiness	100,000	Rice		Done	T4M claims to have completed negotiations for 25-year leases on 100,000 ha in Ghana and 300,000 ha in Nigeria. It is working in partnership with the Government of Vietnam and is supported by the UK government. It is looking for investors to inject US$425 million for each 10,000-ha farm it plans to establish on the lands it has leased.
Ghana	Herakles Capital 	US	Finance	4,364	Oil palm		Done	Herakles Farms is an affiliate of Herakles Capital, a venture capital firm based in New York City. It is pursuing the acquisition and development of oil-palm plantations on over 80,000 ha in West and Central Africa. In south-western Cameroon, the company acquired a 99-year lease for 73,000 ha adjacent to several important reserves, including the Korup National Park, where it will develop oil-palm plantations that environmental NGOs say will destroy forests and small farms in the area. In Ghana, the company has acquired over 4,000 ha in the Volta and Dodod Pepesu regions for oil-palm plantations. 
Guinea	Farm Lands of Guinea, Inc	UK	Agribusiness	106,415	Maize, soybeans	US$5 million	Done	Farm Lands of Guinea (FLG) is a company based in Gibraltar and registered in the British Virgin Islands. On September 16, 2010, with a military junta in control of the Government of Guinea, FLG signed two deals with Guinea's Ministry of Agriculture, giving it 99-year lease rights to more than 100,000 ha of agricultural land, where it intends to grow maize and soybeans. Under a subsequent protocol, signed while the junta was still in power, FLG agreed to survey and map roughly 1.5 million ha and to "prepare it for third-party development under 99-year leases". FLG maintains that in return the Ministry of Agriculture gave it exclusive marketing rights over the lands "with a commission of 15% being payable on closed sales". Late in 2011, FLG reported that its representatives had been in Sierra Leone and The Gambia prospecting for land, and that it had identified 10,000 ha in Mali's Office du Niger with the country's Minister of Agriculture. In November 2011, London -based Craven House Capital, formely AIM Investments, bought US$1,000,000-worth of FLG common shares. 
Hungary	Germanagrar	Germany	Real estate	11,300	Wheat		Done	Germanagrar is a German company based in Hamburg that manages over €500 million in farmland investments in Eastern Europe on behalf of its clients. The company typically identifies properties for its clients, arranges the acquisition and often manages the farms. A full list of its holdings is not available.
Indonesia	"Chinese investors"	China		1,000	Rice		In process	In April 2010, the Secretary of the Mamuju agriculture and animal husbandry agency told the ANTARA news agency that Chinese investors were planning to develop 1,000 ha of rice fields in Tommo subdistrict, Mamuju regency, West Sulawesi province. He did not disclose the name of the investor.
Indonesia	KS Oils	India	Agribusiness	56,000	Oil palm		Done	KS Oils is one of India’s largest edible-oil companies. The company began investing heavily in oil-palm plantations in Indonesia in 2008 through its Singapore-based subsidiary KS Natural Resources Pte  Ltd. By October 2009, it had acquired 56,000 ha in Kalimantan and Sumatra. KS Oils is backed by Indian billionaire C. Sivasankaran and three private equity funds: New Silk Route, Citi Venture Capital and Barings Private Equity Asia.
Indonesia	Noble Group	Singapore	Agribusiness	32,500	Oil palm		Done	In June 2010, Noble Group, one of the world's largest global commodity traders, acquired a 51% stake in the Indonesian palm-oil company PT Henrison Inti Persada, a subsidiary of the Kayu Lapis Indonesia Group, giving it control of the 32,500 ha of forested lands in Sorong Regency, West Papua Province where Henrison Inti Persada is developing oil-palm plantations. Local communities were reported to have been paid as little as US$2.50 per hectare when the lands were acquired by Henrison Inti Persada.
Indonesia	Wilmar International	Singapore	Agribusiness	200,000	Sugar cane	US$2 billion 	Done	Singapore-based Wilmar, controlled by the Malaysian tycoon Robert Kuok, is one of the world's largest palm-oil companies and a major sugar producer. In September 2009, the company secured a permit to convert 200,000 ha of mainly forested land in Papua, Indonesia into sugar-cane plantations, as part of the Merauke Integrated Food and Energy Estate mega-project that the Indonesian government is pursuing. In December 2010, Wilmar became the largest sugar producer in Australia when it acquired CSR Limited, giving it control over a number of sugar-cane farms in the country.
Indonesia	Agro Enerpia Indonesia	South Korea	Agribusiness	10,000	Maize	US$2 billion	In process	In July 2008, a spokesman for the Buol regional government told Antara News that South Korean-based PT Agro Enerpia Indonesia was going to invest US$2 billion in maize plantations in the  the Buol district of Central Sulawesi. The company wanted 25,000 ha but the government offered to make available only 10,000 ha, in Palele Gadung and Bunobugu.
Indonesia	Daewoo Logistic Indonesia / Cheil Jedang Samsung	South Korea	Industrial	24,000	Maize	US$50 million	In process	In January 2009, Antara News reported that South Korea's PT Daewoo Logistic Indonesia and Cheil Jedang Samsung would invest US$50 million in a joint venture to produce maize on the islands of Buru and Sumba. The Chairman of Indonesia's National Corn Council said that around 12,000 ha were available on each of the islands for the project, which would also include the construction of processing facilities to produce flour, animal feed, methane gas, and ethanol, all of which would be exported. PT Daewoo Logistic Indonesia's mother company, Daewoo Logistics, filed for bankruptcy in July 2009 after its highly controversial 1.3 million-ha planned farming venture in Madagascar was jettisoned in a military coup earlier in the year. 
Indonesia	Minerals Energy Commodities Holding 	UAE	Mining	100,000	Fruit, palm oil, rice, sugar cane		In process	Minerals Energy Commodities Holding (MEC) is a 50-50 joint venture between the Ras Al Khaimah Investment Authority of the UAE and the UAE-based mining company Trimex. In February 2010, it was reported that the company was planning a 100,000-ha agricultural project in the East Kalimantan region of Indonesia.
Indonesia	Bunge 	US	Agribusiness 	25,000	Oil palm		In process	Bunge Agribusiness Singapore, the wholly owned subsidiary of Bunge Limited, "announced that it intends to form a joint venture with PT Bumiraya Investindo ('BRI'), the Indonesian palm plantation subsidiary of PT Tiga Pilar Sejahtera Food Tbk ('TPS Food')". TPS food has 25,000-ha oil-palm concessions in Indonesia. Bunge would acquire a 35% minority stake in BRI.
Jamaica	COMPLANT	China	Agribusiness, construction 	18,000	Sugar cane	US$166 million	Done	The China National Complete Import and Export Corporation Group (COMPLANT) functioned as a foreign-aid office for China until 1993, and while it now trades on the Shenzhen Stock Exchange, its controlling shareholder is the State Development & Investment Corporation, the largest state-owned investment holding company in China. The company is involved in a number of construction and infrastructure projects overseas, and several agricultural projects. In 2010, COMPLANT's subsidiary Hua Lien International announced plans to establish a joint venture with COMPLANT and the US$5-billion China-Africa Development Fund to set up ethanol projects in various African countries. The three companies plan to launch the venture in Benin and roll out to other countries in the coming years. The venture will draw on COMPLANT's numerous recent investments in sugar-cane and cassava production, including an 18,000-ha sugar-cane plantation in Jamaica, a proposed 4,800-ha sugar-cane and cassava venture in Benin, a 1,320-ha sugar-cane plantation and factory in Sierra Leone, where in 2006 it also announced plans to expand its holdings to 8,100 ha to begin production of cassava. In Madagascar COMPLANT has been running the SUCOMA sugar factory since 1997 and, in 2008, under a twenty-year management contract, it took over the state-owned sugar refinery SUCOCOMA, giving it control of 10,000 ha for sugar-cane production. 
Kenya	Omnicane	Mauritius	Agribusiness	6,879	Sugar cane		In process	Omnicane, which is listed on the Stock Exchange of Mauritius, intends to team up with local investors to form a joint venture, Kwale International Sugar Company Limited (KISCOL). 
Kenya	Dominion Farms	US	Agribusiness	7,000	Rice		Done	Dominion Farms is owned by Calvin Burgess, a wealthy American who made his fortune in construction and real estate. Burgess set up the company to develop rice farms in Africa. It established its first farm on a 7,000-ha piece of land in the Yala Swamp area in Kenya, which it obtained on a 25-year lease. The local communities living in the area complain of being displaced without compensation, of losing access to water and pasture for their livestock, of losing access to potable water and of pollution from the regular aerial spraying of fertilisers and agrochemicals. They continue to struggle to get their lands back and to get Dominion to leave. Undaunted by the opposition in Kenya, Burgess is now seeking to expand into Nigeria, where he has acquired 30,000 ha in Taraba State with the backing of former President Olusegun Obasanjo.
Laos	ZTE	China	Telecommunications	50,000	Cassava		Done	ZTE Corporation is China's largest telecommunications company, with operations in more than 140 countries. In 2007, it established ZTE Energy to invest in biofuels and food production in China and overseas. In October 2010, Asian Sentinel reported that ZTE had reached an agreement with Laotian authorities for 50,000 ha to produce cassava, and that it was looking for up to 100,000 ha across four southern provinces. 
Laos	Kuwait	Kuwait	Government	200,000	Rice		In process	The Government of Laos and Kuwait signed an agreement to investigate the potential for the production of rice for export to Kuwait. Laos has allocated 200,000 ha of land towards the project, and Kuwait has allocated US$350,000 towards an initial study that will examine the feasibility of expanding the Nabong Khoksa Pumping Irrigation Project in Xaythany district, Vientiane to irrigate 4,000 ha. Laos has invited the Thai government to participate in the project.
Laos	Mongolia	Mongolia	Government	10,000	Rice and other crops		In process	In March 2010, Laos and Mongolia signed an agreement for cooperation in agriculture, under which Laos agreed to consider Mongolia's request for 20,000 ha on which to produce rice and other crops, and up to 20 ha for the purpose of establishing a “Mongolian Agriculture Cooperation Centre” in the Special Economic Zone in Savannakhet Province.
Laos	Khon Kaen Sugar Industry	Thailand	Agribusiness	10,000	Sugar cane		Done	Thai sugar giant Khon Kaen Sugar Industry (KSL) operates a sugar mill in Laos and is developing a sugar-cane plantation on 10,000 ha in Sawannakhet, where it has a 30-year concession. The sugar will mainly be exported to Europe to take advantage of the privileged trade access that Laos has to the EU under the EU's "Everything but arms" programme.
Laos	Mitr Phol Group	Thailand	Agribusiness	10,000	Sugar cane		Done	Thailand's Mitr Phol is Asia’s largest sugar producer and among the six biggest in the world. In 2009, the company began exporting sugar to the EU from its 6,400-ha sugar-cane plantation in Laos, taking advantage of the country's preferential trade access to Europe. That same year it acquired a 40-year lease for a 10,000-ha concession in Laos to expand its sugar-cane production, and the company announced that it was conducting a feasibility study on another 10,000 ha.
Laos	RTL World Trade Company	Thailand		50,000	Cassava and oil palm		Done	In September 2011, the Government of Lao PDR signed an MoU with RTL World Trade Company of Thailand to survey land and conduct a feasibility study for cassava and oil-palm plantations in Vientiane province. RTL World Trade said it was looking for 50,000 ha.
Liberia	SIFCA	Côte d'Ivoire	Agribusiness	8,800	Oil palm	US$64 million 	Done 	In March 2011, the Government of Liberia and SIFCA signed an agreement involving the rehabilitation of an 8,800-ha oil-palm plantation, currently occupied by local farmers, and a 6,000-ha outgrower scheme. SIFCA was given a 25-year lease on the lands. In January 2012, SIFCA signed a subsequent agreement with the government to expand its rubber plantations from 8,000 ha to 35,000 ha in Maryland and River Gee counties.  SIFCA is partly owned by Wilmar and Olam of Singapore.
Liberia	Libyan African Investment Portfolio	Libya	Government	15,000	Rice	US$30 million	Done	In December 2007, Libyan African Investment Portfolio, owned by Libya's sovereign wealth fund, invested US$30 million in a rice project in Liberia managed in partnership with the Government of Liberia and a local NGO created to implement the project, Foundation for African Development Aid (ADA). ADA was granted a 20-year concession on 15,000 ha of land where it intended to grow hybrid rice varieites from China. In May 2010, Liberia's President Sirleaf announced that the project had collapsed, owing to the overthrow of the Kadhafi regime, and that her government was in the process of identifying a new investor to replace ADA.
